"Item No","ESP32 GPIO / Pin","Module / Peripheral","Peripheral Pin Name","Direction (from ESP32)","Signal Type / Logic Level","Hardware Wiring & Notes"
1,"GPIO 18","SPI Bus (Shared)","SCK / CLK","Output","Digital (3.3V)","Shared SPI Clock -> TFT SCK, SD SCK, MAX31865 #1 SCK, MAX31865 #2 SCK"
2,"GPIO 19","SPI Bus (Shared)","MISO / SDO / DOUT","Input","Digital (3.3V)","Shared SPI Master In -> TFT MISO, SD MISO, MAX31865 #1 SDO, MAX31865 #2 SDO"
3,"GPIO 23","SPI Bus (Shared)","MOSI / SDI / DIN","Output","Digital (3.3V)","Shared SPI Master Out -> TFT MOSI, SD MOSI, MAX31865 #1 SDI, MAX31865 #2 SDI"
4,"GPIO 5","TFT Display (ILI9341)","CS","Output","Digital (3.3V) Active LOW","TFT Chip Select line"
5,"GPIO 2","TFT Display (ILI9341)","DC / RS","Output","Digital (3.3V)","TFT Data/Command select. NOTE: Strapping pin; must not be pulled HIGH at boot"
6,"GPIO 4","TFT Display (ILI9341)","RST / RESET","Output","Digital (3.3V) Active LOW","TFT Hardware Reset"
7,"GPIO 13","MicroSD Card Adapter","CS","Output","Digital (3.3V) Active LOW","SD Card Chip Select line"
8,"GPIO 14","MAX31865 #1 (Heater 1 PT100)","CS","Output","Digital (3.3V) Active LOW","Channel 1 RTD Temperature Sensor Chip Select"
9,"GPIO 15","MAX31865 #2 (Heater 2 PT100)","CS","Output","Digital (3.3V) Active LOW","Channel 2 RTD Sensor Chip Select. CRITICAL: config.h defines 14 (collision), SCHEMATIC specifies GPIO 15!"
10,"GPIO 36 (SENSOR_VP)","HX711 (Torque Sensor / Load Cell)","DOUT / DATA","Input","Digital (3.3V) Input-Only","HX711 serial data output. GPIO 36 is input-only on ESP32"
11,"GPIO 12","HX711 (Torque Sensor / Load Cell)","SCK / PD_SCK","Output","Digital (3.3V)","HX711 clock. NOTE: Strapping pin MTDI; keep LOW during boot"
12,"GPIO 34","Limit Switch (Down)","DOWN_LIMIT","Input","Digital (3.3V) Active LOW","Input-only pin. CRITICAL: Requires external 10k pull-up to 3.3V. Switch connects pin to GND"
13,"GPIO 35","Limit Switch (Home/Up)","HOME_LIMIT","Input","Digital (3.3V) Active LOW","Input-only pin. CRITICAL: Requires external 10k pull-up to 3.3V. Switch connects pin to GND"
14,"GPIO 32","Push Button 1","UP","Input","Digital (3.3V) Active LOW","Internal PULLUP enabled. Connect pushbutton between GPIO 32 and GND"
15,"GPIO 33","Push Button 2","DOWN","Input","Digital (3.3V) Active LOW","Internal PULLUP enabled. Connect pushbutton between GPIO 33 and GND"
16,"GPIO 27","Push Button 3","LEFT","Input","Digital (3.3V) Active LOW","Internal PULLUP enabled. Connect pushbutton between GPIO 27 and GND"
17,"GPIO 25","Push Button 4","RIGHT","Input","Digital (3.3V) Active LOW","Internal PULLUP enabled. Connect pushbutton between GPIO 25 and GND"
18,"GPIO 26","Push Button 5","OK / ENTER","Input","Digital (3.3V) Active LOW","Internal PULLUP enabled. Connect pushbutton between GPIO 26 and GND"
19,"GPIO 16","Solid State Relay 1 (SSR 1)","SSR1_IN +","Output","Digital (3.3V PWM / Time-Prop)","Heater 1 Control. Connect to SSR DC Input (+). SSR Input (-) to ESP32 GND"
20,"GPIO 17","Solid State Relay 2 (SSR 2)","SSR2_IN +","Output","Digital (3.3V PWM / Time-Prop)","Heater 2 Control. Connect to SSR DC Input (+). SSR Input (-) to ESP32 GND"
21,"GPIO 21","Motor Driver / Relay","MOTOR_DOWN","Output","Digital (3.3V Logic)","Motor Down Direction signal to motor driver / relay module"
22,"GPIO 22","Motor Driver / Relay","MOTOR_UP","Output","Digital (3.3V Logic)","Motor Up Direction signal to motor driver / relay module"
23,"GPIO 24","Debug Test-Point / Buzzer (Optional)","TP / BUZZER","Output","Digital (3.3V Logic)","Optional test-point / piezo buzzer / status LED (via driver transistor or 330 ohm resistor)"
24,"3.3V Rail","Power Supply","3.3V / VCC","Power","3.3V DC Regulated","Powers ESP32 3.3V, MAX31865 #1 & #2 VCC, HX711 VCC, SD Card VCC, TFT Logic VCC, 10k Pull-ups"
25,"5V Rail (VIN)","Power Supply","5V / VIN","Power","5V DC Regulated","Powers TFT Backlight (LED pin, if 5V module), Motor Driver logic VCC / Relay Coil VCC"
26,"GND Rail","Common Ground","GND","Ground","0V Common Ground","Common Ground: ESP32 GND, All Sensor GNDs, Button Common GND, Limit Switch GND, SSR (-), Driver GND"
